Correct;Wrong;Test image count;Accuracy;Detect Accuracy;FPS;Radius;Neighbours;Scale;Cascade;Single;Dataset
123;127;250;0.4920;1.0000;6.50;7;5;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
131;119;250;0.5240;1.0000;5.28;7;7;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
135;115;250;0.5400;1.0000;2.16;7;9;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
72;178;250;0.2880;1.0000;6.94;8;1;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
109;141;250;0.4360;1.0000;6.74;8;3;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
125;125;250;0.5000;1.0000;6.48;8;5;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
130;120;250;0.5200;1.0000;5.24;8;7;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
134;116;250;0.5360;1.0000;2.19;8;9;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
73;177;250;0.2920;1.0000;7.07;10;1;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
103;147;250;0.4120;1.0000;6.96;10;3;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
122;128;250;0.4880;1.0000;6.61;10;5;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
133;117;250;0.5320;1.0000;5.13;10;7;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
140;110;250;0.5600;1.0000;2.20;10;9;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
63;187;250;0.2520;1.0000;7.24;20;1;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
108;142;250;0.4320;1.0000;7.00;20;3;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
118;132;250;0.4720;1.0000;6.60;20;5;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
130;120;250;0.5200;1.0000;4.70;20;7;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
133;117;250;0.5320;1.0000;2.43;20;9;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
72;178;250;0.2880;1.0000;7.29;30;1;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
99;151;250;0.3960;1.0000;7.18;30;3;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
115;135;250;0.4600;1.0000;6.50;30;5;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
120;130;250;0.4800;1.0000;4.70;30;7;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
125;125;250;0.5000;1.0000;2.72;30;9;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
71;179;250;0.2840;1.0000;5.82;1;1;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
118;132;250;0.4720;1.0000;5.65;1;3;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
137;113;250;0.5480;1.0000;5.38;1;5;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
